core_composition,ligand_composition,size (nm),band_gap (eV),quantum_yield (%),emission_maximum (nm),lattice_type,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),volume (Å³)
ZnSe,DDA,1.2927054,-0.70070523,64.77887,761.8451,Zinc Blende,7.797558,-2.7296798,-1.1855937,105.43546,91.003006,99.589035,215.1243
ZnSe,OA,2.0606434,0.9011407,45.894775,635.1344,Zinc Blende,3.911831,3.9653006,3.6062286,79.89578,78.61232,83.0609,170.21397
InP,Zinc stearate,4.6502066,9.247084,39.282303,726.13885,Hexagonal,-5.0822177,14.182417,6.090122,76.16102,93.782,95.17038,185.93704
ZnSe,DDA,1.3632206,-1.201594,61.30878,740.91516,Zinc Blende,7.8030596,-1.3101343,0.5491991,101.17884,89.12671,96.78155,206.42142
InP,Zinc stearate,4.479449,8.408709,42.189487,747.3976,Hexagonal,-3.948589,13.292591,5.9881153,80.41764,95.98761,97.885796,192.51588
InP,Zinc stearate,3.4548883,3.3784342,59.632652,874.95013,Hexagonal,2.8531954,7.95364,5.376034,105.9573,109.22128,114.178246,231.98886
InP,Zinc stearate,2.2314012,1.7395272,42.987583,613.8757,Hexagonal,2.7782106,4.855126,3.7082355,75.63916,76.40671,80.34548,163.63515
InP,Zinc stearate,3.6256385,4.216817,56.72546,853.69135,Hexagonal,1.7195597,8.84347,5.478052,101.70066,107.01567,111.462845,225.41002
InP,Zinc stearate,2.4021711,2.5779061,40.080357,592.6169,Hexagonal,1.6445711,5.744952,3.810242,71.38255,74.201096,77.63007,157.05632
InP,Zinc stearate,3.0209293,2.3399167,57.65177,825.62555,Hexagonal,3.684675,6.511649,4.8825684,101.57021,102.671844,107.756615,219.83455
